temperature,vibration,pressure,operating_hours,failure
79.96714153011233,0.6399355436586003,26.62410862512809,9023,0
73.61735698828815,0.5924633682912769,29.27740664642241,4061,0
81.47688538100692,0.5059630369920174,26.037900395000193,2604,0
90.23029856408026,0.4353063222294426,28.4601923518048,8906,0
72.65846625276664,0.569822331361359,20.531926665231072,3906,0
72.6586304305082,0.539348538542175,31.066468536864694,6200,0
90.79212815507391,0.5895193220027732,30.006027376811122,1819,0
82.67434729152909,0.563517180168197,25.914556844659046,6786,0
70.30525614065049,0.6049552715319335,33.296228342162024,1687,1
80.42560043585965,0.4464764788439432,34.68785068813279,7100,0
70.36582307187538,0.6317394065634325,21.962200678155128,9903,0
70.34270246429743,0.51975996046924,26.18637610716893,996,0
77.41962271566034,0.7075260872625265,26.15428825106351,5658,0
55.86719755342202,0.4310812181910432,25.300484494455677,8569,1
57.75082167486967,0.6735963803165249,34.14737420965874,4747,0
69.37712470759027,0.5197910783462648,29.030869306135983,9928,0
64.87168879665576,0.43485819963855515,28.677425793446947,2532,0
78.14247332595274,0.4516114165945678,19.980688177966233,4004,0
65.91975924478788,0.46796526918056797,33.17709015104613,6937,0
60.87696298664709,0.5424165946401917,23.80370802573264,1549,0
89.65648768921554,0.55228354880355,30.299663151331643,4600,0
72.74223699513465,0.4426299996061421,31.386884689790957,5554,0
75.67528204687923,0.4975645407739017,36.80329297919326,9524,0
60.75251813786544,0.7142270358611864,23.45589800440444,4217,0
69.55617275474818,0.6727543170100712,14.902439220895873,8969,0
76.10922589709867,0.5436323669674032,30.919247723768475,2128,0
63.490064225776976,0.50380034781682,39.00255590755427,6945,0
78.75698018345672,0.5120031326718262,36.19473176469719,3858,0
68.99361310081196,0.5613517972730416,31.048297076373128,6004,0
72.08306250206724,0.39772074348015946,27.541819071839765,4724,0
68.98293387770603,0.4742623462576655,34.03561298318655,8948,0
93.52278184508938,0.3331415926122411,25.132269001477656,265,0
74.86502775262066,0.5399223122605279,32.3817888467811,4691,0
64.422890710441,0.564719593970274,32.52735079583314,689,0
83.22544912103189,0.4516813537700626,35.3010495374944,4624,0
62.791563500289776,0.6573986763290033,43.79830019455539,2921,0
77.08863595004756,0.3774234336997659,31.962079835893835,6609,0
55.403298761202244,0.353562511979018,27.455181871462507,7793,0
61.71813951101569,0.5224451818559972,29.87212843904003,9554,0
76.96861235869123,0.6047098302612155,21.15462047555441,171,0
82.3846657999541,0.6683927691457869,26.52643434455471,3680,0
76.7136828118997,0.454111573713106,27.95358780943448,8062,0
73.8435171761176,0.6078680833431296,27.379558010327038,368,0
71.98896304410711,0.4961491530499293,30.76177436016861,2562,0
60.214780096325725,0.48273727000591804,25.887900338088997,9560,0
67.80155791605291,0.5883659937486673,35.60515333662236,1115,0
70.39361229040213,0.5652322878413419,30.001035324590987,9375,0
85.57122226218915,0.342360784301575,29.953498394306926,8084,0
78.43618289568461,0.6476540349725896,28.36052641743541,506,0
57.36959844637266,0.6380091354147451,30.775953419294897,7484,0
78.24083969394795,0.43744372984904706,34.125491323338174,6149,1
71.14917719583684,0.5395803533437409,25.664348921445498,6269,0
68.23077999694041,0.5494030186282739,26.709417554623716,8082,0
81.11676288840867,0.5260673765823907,28.481369856116675,1085,0
85.30999522495951,0.444969484615458,23.270645382633926,4585,0
84.31280119116198,0.4328376632061948,25.903710701392512,9001,1
66.60782476777362,0.49744459290085546,27.618895632276704,2718,0
71.90787624148786,0.6172729019259364,34.371945903563635,6389,0
78.31263431403563,0.5543600154594432,31.312806645009626,9703,0
84.75545127122359,0.4629385667913894,30.967949556837723,7028,0
70.2082576215471,0.5771698710648345,34.25448981083986,5468,0
73.14341023336183,0.21514573793699243,29.313141058003016,4721,0
63.93665025993972,0.6148765700372103,31.952324249644448,9777,1
63.037933759193294,0.32602862212219,29.48389123533752,7666,0
83.12525822394198,0.4637559058596868,31.326811746998143,4770,0
88.56240028570824,0.3880330105373856,27.08620671194209,7758,0
74.27989878419666,0.3705318524279094,17.805914208617857,1103,0
85.03532897892023,0.6160826787378519,29.32860418906848,7604,0
78.61636025047635,0.45322987986881086,37.1137406804997,2566,0
68.54880245394875,0.5346503881730715,34.631077011207964,2039,0
78.61395605508415,0.49530794211208157,34.82698742295585,1735,0
90.38036566465969,0.5477040827223122,36.18065360903109,9990,0
74.64173960890048,0.5076821891060256,30.443287954807186,8195,1
90.64643655814007,0.37170077758114306,30.986578537027977,6365,0
48.80254895910255,0.599626681944714,26.91174052282825,1995,0
83.21902504375224,0.4506243416838688,28.41963571986475,6624,0
75.87047068238171,0.3443418101340249,33.07885574885571,1173,0
72.00992649534132,0.4571884839034087,36.01942218584408,5284,0
75.91760776535503,0.6500759790634311,29.302768621595003,2502,0
55.124310853991076,0.5850221742113493,27.749053675742942,4995,0
72.80328112162488,0.4651347865592141,30.002639794282988,7431,0
78.57112571511746,0.46507422956815714,33.00603374464558,9443,0
89.77894044741517,0.46783649487826173,22.78072591933229,2056,0
69.81729781726352,0.707674798356084,18.51909523431381,7123,0
66.91506397106812,0.5381935452231553,27.247315752542082,4007,0
69.98242956415463,0.543004164719107,23.896437870429207,907,0
84.15402117702074,0.6030283454031842,27.459299011763445,8478,0
78.28751109659684,0.5238789159026513,29.26109840591264,4927,0
69.70239796232961,0.4740957854179297,27.733757954884933,4624,0
80.13267433113356,0.4803650150915022,37.26233767235372,9599,0
75.9707754934804,0.4928398740585936,31.6337238230116,2384,1
84.68644990532889,0.4962777763490158,31.502371798054142,5413,0
67.97946906122648,0.572762954363698,33.11103572021701,857,1
71.72337853402232,0.50519458858073,24.305834411096154,4987,0
71.07891846867842,0.5732640077215579,35.195558937101346,3954,0
60.364850518678814,0.49192834198914176,29.6211785673227,3658,0
77.96120277064576,0.5078635190316091,33.35240308620606,9872,0
77.6105527217989,0.30017993154678924,24.64071383479922,1061,0
75.05113456642461,0.5916327674702482,22.23120616991968,3947,0
72.65412866624852,0.5346488475897992,34.08944829012514,6826,1
60.84629257949586,0.5998010109859653,31.882047630487584,3675,0
70.79354677234642,0.21037446218063105,25.48974222821245,9167,0
71.57285483473231,0.7088374704780728,25.651684593626527,2518,0
66.9772273077838,0.4860410371844826,35.62717392207385,4298,0
73.3871428833399,0.6108182816737516,24.05294053566336,1101,0
79.04050856814538,0.39600940728744694,38.21336476627982,5344,0
93.8618590121053,0.5612773905062569,25.496896326760655,7219,1
76.74577812831839,0.39465844368263436,33.191959628041914,4166,0
77.57550390722764,0.4376231039304195,28.356907621255075,2945,0
74.25554084233833,0.6914031353866786,33.01593715541171,9773,0
55.812287847009586,0.4809317599236653,27.279429989429037,8949,0
74.73486124550783,0.5217432873179723,29.18603546963853,5416,0
75.60230209941027,0.5870067730688754,30.204595876978605,522,0
99.63242112485287,0.5495681887972604,24.989062721092637,6815,0
73.07639035218878,0.5150418905143577,33.70412172710063,4366,0
78.01547342333612,0.5364961002466225,27.433932167642073,7649,0
74.65288230294756,0.7403415585238275,28.857000423299908,6416,1
63.31321962380468,0.49423812029664144,25.028253126957438,2810,0
86.4282281451502,0.5201099046714968,17.188331706023448,8744,0
82.51933032686775,0.6050654396007612,29.044861186999157,8169,0
82.91031947043047,0.6105525932957984,42.063077108064576,1757,0
65.9061254520526,0.618703030556038,33.92302143949012,2641,0
89.02794310936099,0.5638730222029185,29.903698101328025,6863,0
60.98148937207719,0.38569950872695163,28.68554585395866,3175,0
80.8685709380027,0.6633431532301096,30.11232946406023,3264,0
96.90455625809979,0.3853654606981312,32.73559557587605,2153,0
65.09463674869312,0.5302635465239033,24.095935923455777,8579,0
